,C_i/C_m((g/L)/M),C_ci/C_m((g/L)/M),C_t/C_m((g/L)/M),C_m (M),T (°C),AMPS feed ratio (mol%),C_c (mg/L),[η] (mL/g)
84,0.000138888888888889,0.00138888888888889,0.0138888888888889,1.8,0,50,2.0,1120.0
2,0.0914634146341463,0.0914634146341463,0.0914634146341463,1.64,20,10,2.0,240.0
94,0.0138888888888889,0.0,0.00138888888888889,2.52,5,50,2.0,1684.0
45,0.0112107623318386,0.112107623318386,0.0,2.23,10,30,0.5,1337.0
42,0.0111731843575419,0.00011173184357541901,0.11173184357541902,1.79,0,30,1.0,806.0
69,0.0125,0.00125,0.000125,2.4,20,40,0.0,1393.0
154,0.00138888888888889,0.00555555555555556,0.0,1.8,5,50,0.5,2069.0
26,0.009803921568627449,0.0980392156862745,0.0,2.55,10,20,0.5,1713.0
141,0.00555555555555556,0.0034722222222222203,0.0111111111111111,1.8,5,50,2.0,1868.0
117,0.00041999999999999996,0.0008399999999999999,0.00020999999999999998,2.38095238095238,20,25,0.2,1815.88599287845
93,0.00138888888888889,0.138888888888889,0.000138888888888889,2.52,0,50,1.5,1447.0
133,0.000295714285714286,0.00118285714285714,0.0,1.69082125603865,5,100,0.2,748.045530007381
36,0.00111940298507463,0.00111940298507463,0.00111940298507463,1.34,10,30,1.0,1500.0
82,0.0138888888888889,0.000138888888888889,0.138888888888889,1.44,0,50,1.0,600.0
22,0.000980392156862745,0.0,0.009803921568627449,2.04,20,20,0.5,1700.0
126,0.00025433333333333303,0.000508666666666667,0.0,1.96592398427261,15,60,0.2,997.022933441407
67,0.0,0.125,0.0125,2.4,5,40,1.0,1482.0
97,0.00914634146341463,0.000914634146341463,0.000914634146341463,1.64,10,10,1.0,1314.0
11,0.00914634146341463,0.000914634146341463,9.14634146341463e-05,3.28,20,10,0.0,1119.0
65,0.0125,0.125,0.0,2.0,10,40,0.5,1510.0
86,0.138888888888889,0.0,0.000138888888888889,1.8,15,50,1.0,362.0
6,0.0091324200913242,9.1324200913242e-05,0.091324200913242,2.19,0,10,1.0,687.0
27,0.0980392156862745,0.0,9.80392156862745e-05,2.55,15,20,1.0,343.0
76,0.00138888888888889,0.00138888888888889,0.00138888888888889,1.08,10,50,1.0,1990.0
142,0.00833333333333333,0.0034722222222222203,0.0111111111111111,1.8,5,50,2.0,1656.0
38,0.11194029850746301,0.11194029850746301,0.11194029850746301,1.34,20,30,2.0,251.0
41,0.00111731843575419,0.0,0.0111731843575419,1.79,20,30,0.5,1769.0
4,9.1324200913242e-05,0.091324200913242,0.0009132420091324201,2.19,15,10,0.0,947.0
138,0.00138888888888889,0.009722222222222219,0.0,1.8,5,50,5.0,1797.0
32,0.0,0.000980392156862745,0.0980392156862745,3.57,15,20,0.5,408.0
144,0.00833333333333333,0.0034722222222222203,0.0,1.8,5,50,3.0,1734.0
109,0.0009138,0.00913838120104439,0.0,3.83,20,10,1.0,2432.0
68,0.00125,0.000125,0.0,2.4,15,40,2.0,2234.0
10,0.0,0.0914634146341463,0.00914634146341463,3.28,5,10,1.0,1146.0
96,0.000914634146341463,9.14634146341463e-05,9.14634146341463e-05,1.64,5,10,0.5,1200.0
111,0.0103448275862069,0.00431034482758621,0.0,1.45,5,75,5.0,1200.0
0,0.000914634146341463,0.000914634146341463,0.000914634146341463,1.64,10,10,1.0,1120.0
122,0.000299666666666667,0.000599333333333333,0.0,1.66852057842047,15,80,0.2,1318.63182712561
123,0.00119866666666667,0.0,0.0,1.66852057842047,15,80,0.2,1020.11050680825
64,0.000125,0.00125,0.0125,2.0,0,40,2.0,1100.0
44,0.00011210762331838599,0.0011210762331838602,0.0112107623318386,2.23,0,30,2.0,1330.0
146,0.00277777777777778,0.00416666666666667,0.0,1.8,5,50,5.0,1777.0
28,0.0,0.0980392156862745,0.009803921568627449,3.06,5,20,1.0,1292.0
40,0.00011173184357541901,0.11173184357541902,0.00111731843575419,1.79,15,30,0.0,2199.0
114,0.00010499999999999999,0.004200000000000001,0.00010499999999999999,2.38095238095238,17,25,0.2,2076.48000058533
25,9.80392156862745e-05,0.000980392156862745,0.009803921568627449,2.55,0,20,2.0,996.0
23,0.009803921568627449,9.80392156862745e-05,0.0980392156862745,2.04,0,20,1.0,726.0
119,0.0007779999999999999,0.0006224000000000001,0.00031120000000000003,3.2133676092545,10,5,0.2,1808.29847099356
81,0.00138888888888889,0.0,0.0138888888888889,1.44,20,50,0.5,1500.0
79,0.0,0.0138888888888889,0.000138888888888889,1.44,10,50,2.0,2500.0
39,0.0,0.0111731843575419,0.00011173184357541901,1.79,10,30,2.0,1552.0
90,0.138888888888889,0.0138888888888889,0.00138888888888889,2.16,0,50,0.5,250.0
108,9.13838120104439e-05,0.000913838120104439,0.0913838120104439,3.83,15,10,0.5,368.0
160,0.0075,0.003125,0.025,2.0,5,40,1.0,1656.0
137,0.00833333333333333,0.0034722222222222203,0.0277777777777778,1.8,5,50,5.0,1805.0
47,0.0,0.11194029850746301,0.0111940298507463,2.68,5,30,1.0,1626.0
124,0.000277,0.000554,0.0,1.80505415162455,15,70,0.2,1131.77794186934
61,0.00125,0.0,0.0125,1.6,20,40,0.5,1600.0
73,0.00125,0.125,0.000125,2.8,0,40,1.5,1637.0
33,0.000980392156862745,0.0980392156862745,9.80392156862745e-05,3.57,0,20,1.5,2606.0
112,0.00630252100840336,0.00262605042016807,0.0,2.38,5,25,2.0,1555.0
120,0.000310932475884244,0.0006218649517684891,0.0,1.60806618407446,15,90,0.3,1192.5869961603
128,0.00071,0.00142,0.000355,2.8169014084507,10,0,0.2,838.064869536031
62,0.0125,0.000125,0.125,1.6,0,40,1.0,616.0
163,0.0075,0.003125,0.0,2.0,5,40,6.0,1614.0
100,0.0009132420091324201,0.091324200913242,0.0009132420091324201,2.19,15,10,0.0,2163.0
104,0.045787545787545805,0.09157509157509161,0.0,2.73,10,10,0.5,435.0
53,0.00111821086261981,0.11182108626198099,0.000111821086261981,3.13,0,30,1.5,2405.0
5,0.0009132420091324201,0.0,0.0091324200913242,2.19,20,10,0.5,1897.0
118,0.00015560000000000001,0.00031120000000000003,7.780000000000001e-05,3.2133676092545,10,5,0.2,541.054153894344
127,0.0,0.015260000000000001,0.0,1.96592398427261,15,60,0.0,1016.28138799641
152,0.00138888888888889,0.00833333333333333,0.00416666666666667,1.8,5,50,2.0,1555.0
49,0.0111940298507463,0.00111940298507463,0.000111940298507463,2.68,20,30,0.0,494.0
35,0.0980392156862745,9.80392156862745e-05,0.009803921568627449,3.57,10,20,0.0,300.0
80,0.000138888888888889,0.138888888888889,0.00138888888888889,1.44,15,50,0.0,1675.0
77,0.0138888888888889,0.0138888888888889,0.0138888888888889,1.08,15,50,1.5,965.0
34,0.009803921568627449,0.0,0.000980392156862745,3.57,5,20,2.0,1595.0
46,0.112107623318386,0.0,0.00011210762331838599,2.23,15,30,1.0,247.0
7,0.091324200913242,0.0009132420091324201,0.0,2.19,5,10,1.5,239.0
43,0.11173184357541902,0.00111731843575419,0.0,1.79,5,30,1.5,142.0
70,0.125,0.0125,0.00125,2.4,0,40,0.5,227.0
125,0.0,0.01662,0.0,1.80505415162455,15,70,0.0,740.545675301757
110,0.0456919060052219,0.0,0.000913838120104439,3.83,5,10,2.0,357.0
91,0.0,0.00138888888888889,0.138888888888889,2.52,15,50,0.5,230.0
83,0.138888888888889,0.00138888888888889,0.0,1.44,5,50,1.5,330.0
147,0.00277777777777778,0.00416666666666667,0.0111111111111111,1.8,5,50,5.0,1947.0
148,0.00833333333333333,0.0034722222222222203,0.00555555555555556,1.8,5,50,2.0,1896.0
89,0.0138888888888889,0.00138888888888889,0.000138888888888889,2.16,20,50,0.0,1781.0
8,9.15750915750916e-05,0.000915750915750916,0.00915750915750916,2.73,0,10,2.0,1183.0
157,0.0075,0.003125,0.0,2.0,5,40,1.0,1656.0
113,0.00172413793103448,0.006896551724137929,0.0,1.45,5,75,2.0,1705.0
13,0.0,0.000913838120104439,0.0913838120104439,3.83,15,10,0.5,369.0
59,0.0,0.0125,0.000125,1.6,10,40,2.0,2393.0
140,0.00833333333333333,0.0034722222222222203,0.0,1.8,5,50,2.0,1896.0
3,0.0,0.0091324200913242,9.1324200913242e-05,2.19,10,10,2.0,927.0
17,0.000980392156862745,0.000980392156862745,0.000980392156862745,1.53,10,20,1.0,2666.0
72,0.000125,0.0125,0.0,2.8,20,40,1.0,1963.0
143,0.00833333333333333,0.0034722222222222203,0.0,1.8,5,50,1.0,1654.5
136,0.0020661157024793398,0.008264462809917359,0.0,1.21,5,100,2.0,1386.0
150,0.00138888888888889,0.00555555555555556,0.00277777777777778,1.8,5,50,2.0,1919.5
63,0.125,0.00125,0.0,1.6,5,40,1.5,314.0
54,0.0111821086261981,0.0,0.00111821086261981,3.13,5,30,2.0,1490.0
107,0.0457317073170732,0.000914634146341463,9.14634146341463e-05,3.28,20,10,0.0,2084.0
50,0.11194029850746301,0.0111940298507463,0.00111940298507463,2.68,0,30,0.5,156.0
162,0.0075,0.003125,0.0,2.0,5,40,5.0,1720.0
58,0.125,0.125,0.125,1.2,20,40,2.0,149.0
48,0.00111940298507463,0.000111940298507463,0.0,2.68,15,30,2.0,2400.0
88,0.00138888888888889,0.000138888888888889,0.0,2.16,15,50,2.0,2161.0
21,9.80392156862745e-05,0.0980392156862745,0.000980392156862745,2.04,15,20,0.0,2174.0
57,0.0125,0.0125,0.0125,1.2,15,40,1.5,1535.0
159,0.005,0.003125,0.025,2.0,5,40,1.0,1755.0
129,0.0,0.0070999999999999995,0.000355,2.8169014084507,10,0,0.2,905.812481869346
37,0.0111940298507463,0.0111940298507463,0.0111940298507463,1.34,15,30,1.5,1200.0
155,0.00138888888888889,0.00555555555555556,0.0,1.8,5,50,1.0,1925.3
1,0.00914634146341463,0.00914634146341463,0.00914634146341463,1.64,15,10,1.5,1385.0
52,0.000111821086261981,0.0111821086261981,0.0,3.13,20,30,1.0,2022.0
149,0.00833333333333333,0.005,0.0,1.8,5,50,2.0,1754.0
130,0.00028735632183907997,0.0022988505747126397,0.0,1.74,5,75,0.2,1101.0
151,0.00555555555555556,0.00416666666666667,0.0,1.8,5,50,2.0,1814.0
103,0.00915750915750916,0.00915750915750916,0.09157509157509161,2.73,5,10,0.0,1541.0
99,9.1324200913242e-05,0.0091324200913242,9.1324200913242e-05,2.19,10,10,2.0,3068.0
116,0.00010499999999999999,0.00041999999999999996,2.1000000000000002e-05,2.38095238095238,15,25,0.2,2056.09225076216
87,0.0,0.138888888888889,0.0138888888888889,2.16,5,50,1.0,1153.0
74,0.0125,0.0,0.00125,2.8,5,40,2.0,783.0
121,0.0012437299035369799,0.0012437299035369799,0.0,1.60806618407446,15,90,0.2,939.384817635656
164,0.0075,0.003125,0.0,2.0,10,40,2.0,2093.0
20,0.0,0.009803921568627449,9.80392156862745e-05,2.04,10,20,2.0,3238.0
71,0.0,0.00125,0.125,2.8,15,40,0.5,485.0
106,0.000914634146341463,0.0,0.0914634146341463,3.28,10,10,1.5,580.0
14,0.000913838120104439,0.0913838120104439,9.13838120104439e-05,3.83,0,10,1.5,2074.0
92,0.000138888888888889,0.0138888888888889,0.0,2.52,20,50,1.0,1200.0
102,0.000915750915750916,0.000915750915750916,0.00915750915750916,2.73,0,10,2.0,1500.0
